UH_ID,Site,Location,Variety,LocationVar,year,sample_date,Taster,Cocoa,Acidity,Bitterness,Astringency,Sweet,Fresh_Fruit,Browned_Fruit,Nutty,Floral,Woody,Spicy,Off_Flavors
139,Site 04,Pearl City,2,Pearl City_2,2015,1,Ed,7,3,4,5,0,0,2.3,0,2.6,2,0,2
140,Site 04,Pearl City,2,Pearl City_2,2015,2,Skip,4,0,3,2,0,0,0,0,3,2,0,0
140,Site 04,Pearl City,2,Pearl City_2,2015,2,Jason,3,3,6,2,0,0,0,3,0,2,0,0
140,Site 04,Pearl City,2,Pearl City_2,2015,2,Nick ,5,3,4,4.5,0,3,4,2,0,4,0,0
140,Site 04,Pearl City,2,Pearl City_2,2015,2,Juli,6,2,5,5,0,2,4,2,2,4,0,0
140,Site 04,Pearl City,2,Pearl City_2,2015,2,Ed,7,2,4,6,0,3.7,2.7,0,6.3,3.7,3,2
145,Site 04,Pearl City,5,Pearl City_5,2015,1,Skip,6,0,2,2,0,0,0,2,3,3,0,0
145,Site 04,Pearl City,5,Pearl City_5,2015,1,Jason,6,1,5,2,0,0,0,2,0,2,0,0
145,Site 04,Pearl City,5,Pearl City_5,2015,1,Nick ,5.5,2.5,3,2,0,0,2,4,0,4,0,0
145,Site 04,Pearl City,5,Pearl City_5,2015,1,Ed,8,0,3,3,0,0,0,0,0,4,0,0
146,Site 04,Pearl City,5,Pearl City_5,2015,2,Skip,7,0,3,3,0,0,4,3,0,3,0,0
146,Site 04,Pearl City,5,Pearl City_5,2015,2,Jason,3.5,3,6,2,0,2,0,0,0,0,0,0
146,Site 04,Pearl City,5,Pearl City_5,2015,2,Nick ,4.5,4,2.5,3,2,3,2,3,2,4,0,0
